Hari,Jam Ke,Waktu,Kelas,Mapel,Kode Guru
Senin,8,12:30-13:10,IX-B,Bahasa_Bali,28
Senin,8,12:30-13:10,IX-C,Bahasa_Inggris,15
Senin,8,12:30-13:10,IX-D,IPS,18
Senin,8,12:30-13:10,IX-E,Agm/B.Pekerti,26
Senin,8,12:30-13:10,IX-F,B.Indonesia,21
Selasa,1,07:30-08:10,VIII-A,KERJA,BAKTI
Selasa,1,07:30-08:10,IX-A,KERJA,BAKTI
Selasa,2,08:10-08:50,VIII-A,IPS,21
Selasa,2,08:10-08:50,VIII-B,IPA,3
Selasa,2,08:10-08:50,VIII-C,Matematika,7
Selasa,2,08:10-08:50,VIII-D,Bahasa_Inggris,16
Selasa,2,08:10-08:50,VIII-E,PJOK,12
Selasa,2,08:10-08:50,VIII-F,PJOK,12
Selasa,2,08:10-08:50,VIII-G,Matematika,5
Selasa,2,08:10-08:50,VIII-H,Bahasa_Inggris,14
Selasa,2,08:10-08:50,IX-A,B.Indonesia,21
Selasa,2,08:10-08:50,IX-B,Seni_Musik,19
Selasa,2,08:10-08:50,IX-C,IPA,2
Selasa,2,08:10-08:50,IX-D,Matematika,8
Selasa,2,08:10-08:50,IX-E,IPS,18
Selasa,2,08:10-08:50,IX-F,P.Pancasila,10
Selasa,3,08:50-09:30,VIII-A,IPS,21
Selasa,3,08:50-09:30,VIII-B,IPA,3
Selasa,3,08:50-09:30,VIII-C,Matematika,7
Selasa,3,08:50-09:30,VIII-D,Bahasa_Inggris,16
Selasa,3,08:50-09:30,VIII-E,PJOK,12
Selasa,3,08:50-09:30,VIII-F,PJOK,12
Selasa,3,08:50-09:30,VIII-G,Matematika,5
Selasa,3,08:50-09:30,VIII-H,Bahasa_Inggris,14
Selasa,3,08:50-09:30,IX-A,B.Indonesia,21
Selasa,3,08:50-09:30,IX-B,Seni_Musik,19
Selasa,3,08:50-09:30,IX-C,IPA,2
Selasa,3,08:50-09:30,IX-D,Matematika,8
Selasa,3,08:50-09:30,IX-E,IPS,18
Selasa,3,08:50-09:30,IX-F,Bahasa_Inggris,15
Selasa,4,09:40-10:20,VIII-A,Bahasa_Bali,29
Selasa,4,09:40-10:20,VIII-B,Informatika,16
Selasa,4,09:40-10:20,VIII-C,IPA,3
Selasa,4,09:40-10:20,VIII-D,Matematika,7
Selasa,4,09:40-10:20,VIII-E,B.Indonesia,23
Selasa,4,09:40-10:20,VIII-F,Informatika,30
Selasa,4,09:40-10:20,VIII-G,Bahasa_Inggris,14
Selasa,4,09:40-10:20,VIII-H,IPS,25
Selasa,4,09:40-10:20,IX-A,Bahasa_Bali,28
Selasa,4,09:40-10:20,IX-B,IPS,18
Selasa,4,09:40-10:20,IX-C,Bahasa_Bali,27
Selasa,4,09:40-10:20,IX-D,IPA,2
Selasa,4,09:40-10:20,IX-E,B.Indonesia,21
Selasa,4,09:40-10:20,IX-F,Agm/B.Pekerti,26
Selasa,5,10:20-11:00,VIII-A,Bahasa_Bali,29
Selasa,5,10:20-11:00,VIII-B,Informatika,16
Selasa,5,10:20-11:00,VIII-C,IPA,3
Selasa,5,10:20-11:00,VIII-D,Matematika,7
Selasa,5,10:20-11:00,VIII-E,B.Indonesia,23
Selasa,5,10:20-11:00,VIII-F,P.Pancasila,10
Selasa,5,10:20-11:00,VIII-G,Bahasa_Inggris,14
Selasa,5,10:20-11:00,VIII-H,IPS,25
Selasa,5,10:20-11:00,IX-A,Bahasa_Bali,28
Selasa,5,10:20-11:00,IX-B,Matematika,8
Selasa,5,10:20-11:00,IX-C,B.Indonesia,21
Selasa,5,10:20-11:00,IX-D,IPA,2
Selasa,5,10:20-11:00,IX-E,B.Indonesia,21
Selasa,5,10:20-11:00,IX-F,Agm/B.Pekerti,26
Selasa,6,11:00-11:40,VIII-A,Seni_Musik,20
Selasa,6,11:00-11:40,VIII-B,B.Indonesia,20
Selasa,6,11:00-11:40,VIII-C,Bahasa_Inggris,16
Selasa,6,11:00-11:40,VIII-D,IPA,3
Selasa,6,11:00-11:40,VIII-E,Matematika,7
Selasa,6,11:00-11:40,VIII-F,IPS,23
Selasa,6,11:00-11:40,VIII-G,IPS,25
Selasa,6,11:00-11:40,VIII-H,Seni_Musik,19
Selasa,6,11:00-11:40,IX-A,Agm/B.Pekerti,26
Selasa,6,11:00-11:40,IX-B,Matematika,8
Selasa,6,11:00-11:40,IX-C,B.Indonesia,21
Selasa,6,11:00-11:40,IX-D,Informatika,30
Selasa,6,11:00-11:40,IX-E,Bahasa_Inggris,15
Selasa,6,11:00-11:40,IX-F,Bahasa_Bali,27
Selasa,7,11:50-12:30,VIII-A,B.Indonesia,24
Selasa,7,11:50-12:30,VIII-B,IPS,21
Selasa,7,11:50-12:30,VIII-C,Bahasa_Inggris,16
Selasa,7,11:50-12:30,VIII-D,IPA,3
Selasa,7,11:50-12:30,VIII-E,Matematika,7
Selasa,7,11:50-12:30,VIII-F,Matematika,5
Selasa,7,11:50-12:30,VIII-G,Seni_Musik,19
Selasa,7,11:50-12:30,VIII-H,B.Indonesia,25
Selasa,7,11:50-12:30,IX-A,Agm/B.Pekerti,26
Selasa,7,11:50-12:30,IX-B,Informatika,30
Selasa,7,11:50-12:30,IX-C,IPS,18
Selasa,7,11:50-12:30,IX-D,Bahasa_Bali,27
Selasa,7,11:50-12:30,IX-E,Matematika,8
Selasa,7,11:50-12:30,IX-F,IPA,2
Selasa,8,12:30-13:10,VIII-A,B.Indonesia,24
Selasa,8,12:30-13:10,VIII-B,IPS,21
Selasa,8,12:30-13:10,VIII-C,Informatika,16
Selasa,8,12:30-13:10,VIII-D,Bahasa_Bali,29
Selasa,8,12:30-13:10,VIII-E,P.Pancasila,10
Selasa,8,12:30-13:10,VIII-F,Matematika,5
Selasa,8,12:30-13:10,VIII-G,Agm/B.Pekerti,26
Selasa,8,12:30-13:10,VIII-H,B.Indonesia,25
Selasa,8,12:30-13:10,IX-A,Bahasa_Inggris,14
Selasa,8,12:30-13:10,IX-B,Informatika,30
Selasa,8,12:30-13:10,IX-C,IPS,18
Selasa,8,12:30-13:10,IX-D,Bahasa_Bali,27
Selasa,8,12:30-13:10,IX-E,Matematika,8
Selasa,8,12:30-13:10,IX-F,IPA,2
Rabu,1,07:30-08:10,VIII-A,KERJA,BAKTI
Rabu,1,07:30-08:10,IX-A,KERJA,BAKTI
Rabu,2,08:10-08:50,VIII-A,Matematika,7
Rabu,2,08:10-08:50,VIII-B,Bahasa_Inggris,16
Rabu,2,08:10-08:50,VIII-C,IPS,24
Rabu,2,08:10-08:50,VIII-D,P.Pancasila,9
Rabu,2,08:10-08:50,VIII-E,IPA,3
Rabu,2,08:10-08:50,VIII-F,IPS,23
Rabu,2,08:10-08:50,VIII-G,PJOK,12
Rabu,2,08:10-08:50,VIII-H,PJOK,12
Rabu,2,08:10-08:50,IX-A,B.Indonesia,25
Rabu,2,08:10-08:50,IX-B,Bahasa_Inggris,15
Rabu,2,08:10-08:50,IX-C,Matematika,8
Rabu,2,08:10-08:50,IX-D,Agm/B.Pekerti,26
Rabu,2,08:10-08:50,IX-E,B.Indonesia,21
Rabu,2,08:10-08:50,IX-F,IPA,2
Rabu,3,08:50-09:30,VIII-A,Matematika,7
Rabu,3,08:50-09:30,VIII-B,Bahasa_Inggris,16
Rabu,3,08:50-09:30,VIII-C,IPS,24
Rabu,3,08:50-09:30,VIII-D,P.Pancasila,10
Rabu,3,08:50-09:30,VIII-E,IPA,3
Rabu,3,08:50-09:30,VIII-F,IPS,23
Rabu,3,08:50-09:30,VIII-G,PJOK,12
Rabu,3,08:50-09:30,VIII-H,PJOK,12
Rabu,3,08:50-09:30,IX-A,B.Indonesia,25
Rabu,3,08:50-09:30,IX-B,Bahasa_Bali,28
Rabu,3,08:50-09:30,IX-C,Matematika,8
Rabu,3,08:50-09:30,IX-D,Agm/B.Pekerti,26
Rabu,3,08:50-09:30,IX-E,B.Indonesia,21
Rabu,3,08:50-09:30,IX-F,IPA,2
Rabu,4,09:40-10:20,VIII-A,Seni_Musik,20
Rabu,4,09:40-10:20,VIII-B,Matematika,7
Rabu,4,09:40-10:20,VIII-C,Bahasa_Bali,29
Rabu,4,09:40-10:20,VIII-D,Informatika,16
Rabu,4,09:40-10:20,VIII-E,P.Pancasila,10
Rabu,4,09:40-10:20,VIII-F,IPA,3
Rabu,4,09:40-10:20,VIII-G,Informatika,30
Rabu,4,09:40-10:20,VIII-H,Matematika,5
Rabu,4,09:40-10:20,IX-A,B.Indonesia,25
Rabu,4,09:40-10:20,IX-B,Agm/B.Pekerti,26
Rabu,4,09:40-10:20,IX-C,B.Indonesia,21
Rabu,4,09:40-10:20,IX-D,Seni_Musik,19
Rabu,4,09:40-10:20,IX-E,IPA,2
Rabu,4,09:40-10:20,IX-F,Bahasa_Bali,27
Rabu,5,10:20-11:00,VIII-A,B.Indonesia,24
Rabu,5,10:20-11:00,VIII-B,Matematika,7
Rabu,5,10:20-11:00,VIII-C,Bahasa_Bali,29
Rabu,5,10:20-11:00,VIII-D,Agm/B.Pekerti,26
Rabu,5,10:20-11:00,VIII-E,IPS,23
Rabu,5,10:20-11:00,VIII-F,IPA,3
Rabu,5,10:20-11:00,VIII-G,Informatika,30
Rabu,5,10:20-11:00,VIII-H,Matematika,5
Rabu,5,10:20-11:00,IX-A,Matematika,8
Rabu,5,10:20-11:00,IX-B,Agm/B.Pekerti,26
Rabu,5,10:20-11:00,IX-C,B.Indonesia,21
Rabu,5,10:20-11:00,IX-D,Seni_Musik,19
Rabu,5,10:20-11:00,IX-E,IPA,2
Rabu,5,10:20-11:00,IX-F,P.Pancasila,10
Rabu,6,11:00-11:40,VIII-A,P.Pancasila,9
Rabu,6,11:00-11:40,VIII-B,IPA,3
Rabu,6,11:00-11:40,VIII-C,Matematika,7
Rabu,6,11:00-11:40,VIII-D,Seni_Musik,27
Rabu,6,11:00-11:40,VIII-E,B.Indonesia,23
Rabu,6,11:00-11:40,VIII-F,Agm/B.Pekerti,26
Rabu,6,11:00-11:40,VIII-G,B.Indonesia,25
Rabu,6,11:00-11:40,VIII-H,Bahasa_Bali,28
Rabu,6,11:00-11:40,IX-A,Matematika,8
Rabu,6,11:00-11:40,IX-B,IPS,18
Rabu,6,11:00-11:40,IX-C,IPA,2
Rabu,6,11:00-11:40,IX-D,Informatika,30
Rabu,6,11:00-11:40,IX-E,P.Pancasila,10
Rabu,6,11:00-11:40,IX-F,B.Indonesia,21
Rabu,7,11:50-12:30,VIII-A,Agm/B.Pekerti,28
Rabu,7,11:50-12:30,VIII-B,P.Pancasila,9
Rabu,7,11:50-12:30,VIII-C,Matematika,7
Rabu,7,11:50-12:30,VIII-D,Seni_Musik,19
Rabu,7,11:50-12:30,VIII-E,B.Indonesia,23
Rabu,7,11:50-12:30,VIII-F,P.Pancasila,10
Rabu,7,11:50-12:30,VIII-G,Seni_Musik,19
Rabu,7,11:50-12:30,VIII-H,IPA,3
Rabu,7,11:50-12:30,IX-A,IPS,18
Rabu,7,11:50-12:30,IX-B,B.Indonesia,25
Rabu,7,11:50-12:30,IX-C,IPA,2
Rabu,7,11:50-12:30,IX-D,Matematika,8
Rabu,7,11:50-12:30,IX-E,Informatika,30
Rabu,7,11:50-12:30,IX-F,Bahasa_Inggris,15
Rabu,8,12:30-13:10,VIII-A,Bahasa_Inggris,16
Rabu,8,12:30-13:10,VIII-B,P.Pancasila,9
Rabu,8,12:30-13:10,VIII-C,Seni_Musik,27
Rabu,8,12:30-13:10,VIII-D,Bahasa_Bali,29
Rabu,8,12:30-13:10,VIII-E,B.Indonesia,23
Rabu,8,12:30-13:10,VIII-F,Seni_Musik,28
Rabu,8,12:30-13:10,VIII-G,IPA,2
Rabu,8,12:30-13:10,VIII-H,IPA,3
Rabu,8,12:30-13:10,IX-A,Seni_Musik,19
Rabu,8,12:30-13:10,IX-B,B.Indonesia,25
Rabu,8,12:30-13:10,IX-C,IPS,18
Rabu,8,12:30-13:10,IX-D,Matematika,8
Rabu,8,12:30-13:10,IX-E,Informatika,30
Rabu,8,12:30-13:10,IX-F,Bahasa_Inggris,15
Kamis,1,07:30-08:10,VIII-A,KERJA,BAKTI
Kamis,1,07:30-08:10,IX-A,KERJA,BAKTI
Kamis,2,08:10-08:50,VIII-A,PJOK,11
Kamis,2,08:10-08:50,VIII-B,PJOK,11
Kamis,2,08:10-08:50,VIII-C,IPS,24
Kamis,2,08:10-08:50,VIII-D,Matematika,7
Kamis,2,08:10-08:50,VIII-E,IPS,23
Kamis,2,08:10-08:50,VIII-F,Seni_Musik,28
Kamis,2,08:10-08:50,VIII-G,B.Indonesia,25
Kamis,2,08:10-08:50,VIII-H,Matematika,5
Kamis,2,08:10-08:50,IX-A,PJOK,12
Kamis,2,08:10-08:50,IX-B,PJOK,12
Kamis,2,08:10-08:50,IX-C,PJOK,12
Kamis,2,08:10-08:50,IX-D,IPA,2
Kamis,2,08:10-08:50,IX-E,Matematika,8
Kamis,2,08:10-08:50,IX-F,B.Indonesia,21
Kamis,3,08:50-09:30,VIII-A,PJOK,11
Kamis,3,08:50-09:30,VIII-B,PJOK,11
Kamis,3,08:50-09:30,VIII-C,Agm/B.Pekerti,26
Kamis,3,08:50-09:30,VIII-D,Matematika,7
Kamis,3,08:50-09:30,VIII-E,IPS,23
Kamis,3,08:50-09:30,VIII-F,Agm/B.Pekerti,26
Kamis,3,08:50-09:30,VIII-G,B.Indonesia,25
Kamis,3,08:50-09:30,VIII-H,Matematika,5
Kamis,3,08:50-09:30,IX-A,PJOK,12
Kamis,3,08:50-09:30,IX-B,PJOK,12
Kamis,3,08:50-09:30,IX-C,PJOK,12
Kamis,3,08:50-09:30,IX-D,IPA,2
Kamis,3,08:50-09:30,IX-E,Matematika,8
Kamis,3,08:50-09:30,IX-F,B.Indonesia,21
Kamis,4,09:40-10:20,VIII-A,P.Pancasila,9
Kamis,4,09:40-10:20,VIII-B,Agm/B.Pekerti,28
Kamis,4,09:40-10:20,VIII-C,B.Indonesia,23
Kamis,4,09:40-10:20,VIII-D,Informatika,16
Kamis,4,09:40-10:20,VIII-E,Matematika,7
Kamis,4,09:40-10:20,VIII-F,IPA,3
Kamis,4,09:40-10:20,VIII-G,B.Indonesia,25
Kamis,4,09:40-10:20,VIII-H,Agm/B.Pekerti,26
Kamis,4,09:40-10:20,IX-A,Seni_Musik,19
Kamis,4,09:40-10:20,IX-B,IPA,2
Kamis,4,09:40-10:20,IX-C,P.Pancasila,10
Kamis,4,09:40-10:20,IX-D,B.Indonesia,21
Kamis,4,09:40-10:20,IX-E,Bahasa_Inggris,15
Kamis,4,09:40-10:20,IX-F,Matematika,8
Kamis,5,10:20-11:00,VIII-A,Agm/B.Pekerti,28
Kamis,5,10:20-11:00,VIII-B,Seni_Musik,20
Kamis,5,10:20-11:00,VIII-C,B.Indonesia,23
Kamis,5,10:20-11:00,VIII-D,IPS,24
Kamis,5,10:20-11:00,VIII-E,Matematika,7
Kamis,5,10:20-11:00,VIII-F,IPA,3
Kamis,5,10:20-11:00,VIII-G,Agm/B.Pekerti,26
Kamis,5,10:20-11:00,VIII-H,IPS,25
Kamis,5,10:20-11:00,IX-A,P.Pancasila,10
Kamis,5,10:20-11:00,IX-B,IPA,2
Kamis,5,10:20-11:00,IX-C,Seni_Musik,19
Kamis,5,10:20-11:00,IX-D,B.Indonesia,21
Kamis,5,10:20-11:00,IX-E,Bahasa_Inggris,15
Kamis,5,10:20-11:00,IX-F,Matematika,8
Kamis,6,11:00-11:40,VIII-A,B.Indonesia,24
Kamis,6,11:00-11:40,VIII-B,Seni_Musik,20
Kamis,6,11:00-11:40,VIII-C,B.Indonesia,23
Kamis,6,11:00-11:40,VIII-D,Bahasa_Inggris,16
Kamis,6,11:00-11:40,VIII-E,IPA,3
Kamis,6,11:00-11:40,VIII-F,Informatika,30
Kamis,6,11:00-11:40,VIII-G,Matematika,5
Kamis,6,11:00-11:40,VIII-H,Bahasa_Bali,28
Kamis,6,11:00-11:40,IX-A,P.Pancasila,10
Kamis,6,11:00-11:40,IX-B,B.Indonesia,25
Kamis,6,11:00-11:40,IX-C,B.Indonesia,21
Kamis,6,11:00-11:40,IX-D,IPS,18
Kamis,6,11:00-11:40,IX-E,Bahasa_Bali,27
Kamis,6,11:00-11:40,IX-F,Seni_Musik,19
Kamis,7,11:50-12:30,VIII-A,B.Indonesia,24
Kamis,7,11:50-12:30,VIII-B,IPS,21
Kamis,7,11:50-12:30,VIII-C,Bahasa_Inggris,16
Kamis,7,11:50-12:30,VIII-D,B.Indonesia,23
Kamis,7,11:50-12:30,VIII-E,IPA,3
Kamis,7,11:50-12:30,VIII-F,Matematika,5
Kamis,7,11:50-12:30,VIII-G,P.Pancasila,10
Kamis,7,11:50-12:30,VIII-H,Bahasa_Inggris,14
Kamis,7,11:50-12:30,IX-A,IPS,18
Kamis,7,11:50-12:30,IX-B,B.Indonesia,25
Kamis,7,11:50-12:30,IX-C,Matematika,8
Kamis,7,11:50-12:30,IX-D,Bahasa_Inggris,15
Kamis,7,11:50-12:30,IX-E,IPA,2
Kamis,7,11:50-12:30,IX-F,Informatika,30
Kamis,8,12:30-13:10,VIII-A,IPS,21
Kamis,8,12:30-13:10,VIII-B,B.Inggris,16
Kamis,8,12:30-13:10,VIII-C,Seni_Musik,27
Kamis,8,12:30-13:10,VIII-D,B.Indonesia,23
Kamis,8,12:30-13:10,VIII-E,Bahasa_Inggris,16
Kamis,8,12:30-13:10,VIII-F,Matematika,5
Kamis,8,12:30-13:10,VIII-G,P.Pancasila,10
Kamis,8,12:30-13:10,VIII-H,IPA,3
Kamis,8,12:30-13:10,IX-A,IPS,18
Kamis,8,12:30-13:10,IX-B,B.Indonesia,25
Kamis,8,12:30-13:10,IX-C,Matematika,8
Kamis,8,12:30-13:10,IX-D,Bahasa_Inggris,15
Kamis,8,12:30-13:10,IX-E,IPA,2
Kamis,8,12:30-13:10,IX-F,Informatika,30
Jumat,1,07:30-08:10,VIII-A,KERJA,BAKTI
Jumat,1,07:30-08:10,IX-A,KERJA,BAKTI
Jumat,2,08:10-08:50,VIII-A,Informatika,16
Jumat,2,08:10-08:50,VIII-B,IPA,3
Jumat,2,08:10-08:50,VIII-C,PJOK,11
Jumat,2,08:10-08:50,VIII-D,PJOK,11
Jumat,2,08:10-08:50,VIII-E,Seni_Musik,28
Jumat,2,08:10-08:50,VIII-F,B.Indonesia,23
Jumat,2,08:10-08:50,VIII-G,B.Indonesia,25
Jumat,2,08:10-08:50,VIII-H,I,nformatika
Jumat,2,08:10-08:50,IX-A,IPA,2
Jumat,2,08:10-08:50,IX-B,IPS,18
Jumat,2,08:10-08:50,IX-C,Bahasa_Inggris,15
